anchor_key,n_pass,mae_bc
110394ab,45,1.2805991925231144
4e610206,72,0.6909061719621721
8e610981,87,0.788085171613669
d1044709,69,0.9789208344105739
d10485af,67,1.4408658413929856
e63ce2f,43,1.0924051059088877
