wifi_canon_ap,A,B
SW_11,0.8724475956791696,1.0939555089102677
SW_first_team,0.7707135510277318,2.147670923659733
볼링공,0.7187722733403117,1.9102700970170163
SW_4,0.8244084722853021,1.723987680330106
SW_6,0.7522764312380426,1.656090730125076
SW_5,0.8944794696897697,1.04261358372195
