feat_mode,calib_kind,huber_f_wifi,val_RMSE_A_m,val_MAE_A_m
bias_sub,identity,1.0,1.5743010090062746,1.134384722141024
bias_sub,identity,1.35,1.5716031362024965,1.1448911334521266
bias_sub,huber,1.0,1.6270316612973323,1.2392165584035546
bias_sub,huber,1.35,1.643947656471272,1.2442843833150556
