method,K,RMSE_stepD_m,MAE_stepD_m,train_loocv_delta_rmse_m
val_grid_candidate,3,1.9929217873617953,1.6540685551272638,
val_grid_candidate,5,1.8816797617215308,1.550158768157273,
val_grid_candidate,8,1.8093492516181626,1.508975855414969,
val_grid_candidate,12,1.7829996377271908,1.4887304852997993,
val_grid_candidate,16,1.7774378620827789,1.4975426942189016,
val_grid_candidate,20,1.7622221189806233,1.483208193937099,
val_grid_candidate,28,1.7387355353570109,1.4654179516081869,
val_grid_candidate,40,1.7608886535823667,1.487584496919298,
train_loocv_pick,40,1.7608886535823667,1.487584496919298,2.5046591823543247
