anchor,n_clean,mean_error_measured_minus_true_m
110394ab,125,-2.0078363005510127
e63ce2f,124,-3.6388503296918704
8e610981,125,-0.8128658296536181
d10485af,102,-2.003022591563314
d1044709,110,-1.264724975296313
4e610206,120,-1.29678706849797
