pipeline,rmse_m,mae_m
A,1.5034233602354523,1.287621223583045
A_to_B,1.550906009064714,1.1763245694223643
A_to_B_to_C,1.565703870179151,1.1842876431466955
A_to_B_conditional_C,1.5509523819510578,1.1764248162713238
