huber_f_scale,calibration_kind,huber_eps,huber_alpha,ransac_rt,feat_mode,irls_residual_thresh_m,irls_max_iter,val_StepC_RMSE_m,val_StepC_MAE_m
0.95,huber,1.55,1e-06,,bias_sub,2.0,3,1.700275808602075,1.3360284767120636
0.95,huber,1.55,1e-06,,bias_sub,2.4,2,1.6818108846394482,1.3197067215842437
0.95,huber,1.55,1e-06,,bias_sub,2.4,3,1.6844133663910115,1.3208647494827925
0.95,huber,1.55,1e-06,,bias_sub,2.8,2,1.6782990918652763,1.3170108169525936
0.95,huber,1.55,1e-06,,bias_sub,2.8,3,1.6792193559079431,1.3172041710391955
0.95,huber,1.55,1e-06,,bias_sub,3.2,2,1.675586958146101,1.314813676977192
0.95,huber,1.55,1e-06,,bias_sub,3.2,3,1.6765490811493557,1.3153438431661553
0.95,huber,1.55,1e-06,,bias_sub,3.8,2,1.6736889509073682,1.313004201767074
0.95,huber,1.55,1e-06,,bias_sub,3.8,3,1.6737829401880548,1.313104804099499
0.95,huber,1.55,0.0001,,bias_sub,1.2,2,1.750234565434197,1.3927309076359553
0.95,huber,1.55,0.0001,,bias_sub,1.2,3,1.788628774084888,1.4372448571072163
0.95,huber,1.55,0.0001,,bias_sub,1.6,2,1.7123677317250592,1.3541453025373664
0.95,huber,1.55,0.0001,,bias_sub,1.6,3,1.7346156340779764,1.3763505532358413
0.95,huber,1.55,0.0001,,bias_sub,2.0,2,1.6922972915653172,1.329462293773638
0.95,huber,1.55,0.0001,,bias_sub,2.0,3,1.7002757746475756,1.3360284918933971
0.95,huber,1.55,0.0001,,bias_sub,2.4,2,1.68181092964545,1.3197067820935788
0.95,huber,1.55,0.0001,,bias_sub,2.4,3,1.6844133886481119,1.3208648012893693
0.95,huber,1.55,0.0001,,bias_sub,2.8,2,1.6782991305912014,1.317010875680069
0.95,huber,1.55,0.0001,,bias_sub,2.8,3,1.6792193961187447,1.3172042305263705
0.95,huber,1.55,0.0001,,bias_sub,3.2,2,1.6755869932553975,1.31481373303676
0.95,huber,1.55,0.0001,,bias_sub,3.2,3,1.6765491321852206,1.3153439038840087
0.95,huber,1.55,0.0001,,bias_sub,3.8,2,1.6736889724231656,1.313004249879341
0.95,huber,1.55,0.0001,,bias_sub,3.8,3,1.6737829635972579,1.3131048530043903
0.95,huber,1.55,0.001,,bias_sub,1.2,2,1.7502351034954169,1.3927315765069466
0.95,huber,1.55,0.001,,bias_sub,1.2,3,1.7886293486005247,1.4372456883606473
0.95,huber,1.55,0.001,,bias_sub,1.6,2,1.7123681653861542,1.354145855093605
0.95,huber,1.55,0.001,,bias_sub,1.6,3,1.7346161090449788,1.3763510924961995
0.95,huber,1.55,0.001,,bias_sub,2.0,2,1.692297725158171,1.3294628716518073
0.95,huber,1.55,0.001,,bias_sub,2.0,3,1.700276200258354,1.3360290610438421
0.95,huber,1.55,0.001,,bias_sub,2.4,2,1.6818113730761137,1.319707357165457
0.95,huber,1.55,0.001,,bias_sub,2.4,3,1.684413830490297,1.3208653899521585
0.95,huber,1.55,0.001,,bias_sub,2.8,2,1.6782995048440785,1.3170113975554247
0.95,huber,1.55,0.001,,bias_sub,2.8,3,1.679219800137068,1.317204778373414
0.95,huber,1.55,0.001,,bias_sub,3.2,2,1.6755873922386053,1.314814262290199
0.95,huber,1.55,0.001,,bias_sub,3.2,3,1.6765495317439278,1.315344443958209
0.95,huber,1.55,0.001,,bias_sub,3.8,2,1.6736893429554545,1.3130047665035505
0.95,huber,1.55,0.001,,bias_sub,3.8,3,1.673783357635257,1.3131053807724167
0.95,ransac,,,2.2,bias_sub,1.2,2,1.6849636508919257,1.2996512601495964
0.95,ransac,,,2.2,bias_sub,1.2,3,1.7172765916409354,1.3414574498409917
0.95,ransac,,,2.2,bias_sub,1.6,2,1.655335999354287,1.263277427881235
0.95,ransac,,,2.2,bias_sub,1.6,3,1.673160485768849,1.27913967299185
0.95,ransac,,,2.2,bias_sub,2.0,2,1.6387910282932352,1.2459625342397294
0.95,ransac,,,2.2,bias_sub,2.0,3,1.6458420119872872,1.2519387748760857
0.95,ransac,,,2.2,bias_sub,2.4,2,1.6305325609607708,1.237786449002122
0.95,ransac,,,2.2,bias_sub,2.4,3,1.633893954816998,1.240176596116278
0.95,ransac,,,2.2,bias_sub,2.8,2,1.6264432310137993,1.2340398484210175
0.95,ransac,,,2.2,bias_sub,2.8,3,1.6281647520414866,1.2350444455082
0.95,ransac,,,2.2,bias_sub,3.2,2,1.6240517447960408,1.2322535330795694
0.95,ransac,,,2.2,bias_sub,3.2,3,1.6251130582356452,1.2328192462342697
0.95,ransac,,,2.2,bias_sub,3.8,2,1.6229194045593747,1.2308662798371344
