pipeline,rmse_m,mae_m
A,1.6644907109398746,1.403220739816894
A_to_B,1.562095732827293,1.0973990809040932
A_to_B_to_C,1.5641066380850754,1.096591098221458
A_to_B_conditional_C,1.565909086065107,1.09998661628748
