anchor_key,n_valid,n_pass,n_filtered,pass_rate
110394ab,127,45,82,0.3543307086614173
4e610206,150,74,76,0.49333333333333335
8e610981,143,84,59,0.5874125874125874
d1044709,130,71,59,0.5461538461538461
d10485af,138,70,68,0.5072463768115942
e63ce2f,133,42,91,0.3157894736842105
