phase_a_rank,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m,mean_cv_rmse_step_c_m,trial
0,2.5180333971740367,13.416176121022662,1.223869585208659,2.3734470843393347,2.7443035952611923,0
2,1.5446013421424871,23.57294389806982,1.2251211721989255,3.0244069792464066,2.534815089470834,1
1,1.310915992581885,23.65789381598413,1.1274761605069699,2.2602399730053113,2.6944507717675443,2
2,1.3014304464299125,15.621387748345434,1.158458050829876,3.0093583394562846,2.5381085058438733,3
0,2.4877456552107433,14.730092996233138,1.11428216063384,2.4538996160658995,2.7491870097359072,4
1,1.809940976365107,22.518575634687707,1.0168279634085362,2.928396811406854,2.743374057042742,5
0,1.5966622853987347,16.78201599924837,1.2924997269109102,2.3604171241371388,2.7242460748397175,6
0,1.3660631133446788,12.717976556474879,1.1660645705436261,2.9927708925382497,2.68834441704005,7
2,2.6632602383241015,14.969975865577615,1.2682856337240502,3.0019466301069944,2.5736835361002006,8
0,2.3313154735472676,22.903824145312903,1.1377650226267726,2.828491164089206,2.7445136668054153,9
0,1.610045845044835,18.34667265800491,1.2042780782444857,2.278386998758036,2.7342364858092005,10
2,2.184117737836478,12.761838604501767,1.2803225809008683,2.7962715055985603,2.569505321462889,11
0,2.8192161104235747,14.04625965311757,1.156392345048034,2.9309424065940064,2.7510506849761107,12
1,2.3560726758783126,21.17616359727152,1.210040822526941,2.980915166320403,2.7391242276175354,13
2,1.513666305306373,11.55867582988829,1.055450491820475,2.4326292217498886,2.542357887370454,14
2,1.917079076674482,19.80586913107635,1.057814422419096,2.7138170981109138,2.5885956312265472,15
2,1.5435777804934745,10.935700791173,1.3446289239361717,2.622432932810012,2.5340666397306797,16
2,1.25032409717493,10.513357636096337,1.3396947467517109,2.5474643878261434,2.5350255020243364,17
1,1.8647078788877143,10.628212391081279,1.3498828638027838,2.6469054763151973,2.7228606502413952,18
1,1.637795863672054,16.88709041552193,1.3078036959974557,3.0770236923291856,2.7189091914295265,19
1,2.055326301787049,18.80504905224724,1.2446865395990492,2.5733690882948674,2.741809460341567,20
2,1.7744294832966832,16.87457340328169,1.3109646238384556,2.7984933876156823,2.573098791474132,21
2,1.4523815822773225,10.31146924244808,1.3396296987114638,2.5586920520109517,2.536338160707009,22
2,1.446614346611311,10.217400079288531,1.3255005985584245,2.5508083915110342,2.5370744428326613,23
2,1.2606427030092422,11.846913010381758,1.2595298188377742,2.6812512673885176,2.536186788083687,24
2,1.7344959401042426,11.820208154014027,1.248287349405994,2.697069877196352,2.578021346775335,25
2,1.2534605525530715,11.756641746665776,1.2528037308632676,2.491813678486792,2.54018705518333,26
2,1.265853736715996,11.507281618018709,1.2561145826233777,2.6952324247657367,2.536096497023698,27
2,1.2648413535714282,12.066772556223926,1.2547414026524601,2.6685030746811895,2.5367658161856372,28
2,1.2675131670533406,11.493669660829216,1.2504213241995172,2.4780110961611235,2.5407247683139147,29
1,2.009698754714244,21.096294264944603,1.1928132948244468,2.601383723404354,2.7467280523035362,30
1,2.0038694526678107,21.178362820791307,1.3006752718648746,2.355557590000613,2.7417436228081953,31
2,1.420692009765402,13.6308080531025,1.2244233822159485,2.760145634654256,2.5408383566636155,32
2,1.4119465136423321,13.686390761243846,1.330467822552249,2.755970952048247,2.5350148407626047,33
2,1.6855492749881424,13.828037453786798,1.2265320262710204,3.0989924112262712,2.5335502850861,34
