sample_index,p1_uwb_cal_0,p1_wifi_cal_0,p2_rule_0,p2_d_fused_0,p1_uwb_cal_1,p1_wifi_cal_1,p2_rule_1,p2_d_fused_1,p1_uwb_cal_2,p1_wifi_cal_2,p2_rule_2,p2_d_fused_2,p1_uwb_cal_3,p1_wifi_cal_3,p2_rule_3,p2_d_fused_3,p1_uwb_cal_4,p1_wifi_cal_4,p2_rule_4,p2_d_fused_4,p1_uwb_cal_5,p1_wifi_cal_5,p2_rule_5,p2_d_fused_5,p3_n_fused_valid,p3_f_scale,p4_quality_rmse_m,p4_confidence
75,5.2967,1.98,asym_uwb_dom_multipath,2.3116700000000003,,9.6618,wifi_only_uwb_dead_or_var,9.6618,7.8555,4.8632,soft_logvar,5.424081994652011,10.2311,,uwb_only_wifi_dead_or_bad_var,10.2311,2.6761,9.322700000000001,asym_wifi_dom_underest,7.328720000000001,2.8374,4.5926,soft_logvar,4.561001874088032,6,7.65119718886795,2.589188156533947,Low
76,11.3667,9.32,soft_logvar,11.356467844145198,,1.1118000000000001,wifi_only_uwb_dead_or_var,1.1118000000000001,3.6454999999999997,4.0932,soft_logvar,4.0931747069953985,6.1211,5.9674000000000005,soft_logvar,6.120331600940595,,9.812700000000001,wifi_only_uwb_dead_or_var,9.812700000000001,4.3174,3.1626000000000003,soft_logvar,4.037315447713804,6,7.596586290333285,4.034770185224112,Low
77,,10.83,wifi_only_uwb_dead_or_var,10.83,,0.8518000000000001,wifi_only_uwb_dead_or_var,0.8518000000000001,5.995500000000001,,uwb_only_wifi_dead_or_bad_var,5.995500000000001,5.2111,6.2574,soft_logvar,5.211417538118784,7.5561,12.402700000000001,soft_logvar,7.556404535303575,2.7474000000000003,4.622599999999999,soft_logvar,4.337589004868461,6,4.828223295652672,3.7090649707721637,Low
78,4.8167,9.65,asym_wifi_dom_underest,8.200009999999999,17.012999999999998,6.0918,asym_uwb_dom_multipath,7.18392,2.1654999999999998,,uwb_only_wifi_dead_or_bad_var,2.1654999999999998,10.2211,4.5774,asym_uwb_dom_multipath,5.141769999999999,6.8361,14.3427,asym_wifi_dom_underest,12.09072,2.7374,7.4826,asym_wifi_dom_underest,6.0590399999999995,6,4.587359999999999,2.7923661435929117,Low
79,7.786700000000001,14.47,soft_logvar,12.978577098043829,4.643,,uwb_only_wifi_dead_or_bad_var,4.643,2.9055,4.9032,soft_logvar,4.702203796450113,,8.9874,wifi_only_uwb_dead_or_var,8.9874,5.7361,14.2727,asym_wifi_dom_underest,11.71172,6.1374,7.892599999999999,soft_logvar,6.344287174347361,6,8.979725066845871,3.904596529948419,Low
80,17.0667,10.84,soft_logvar,17.065801936205325,17.253,4.4318,asym_uwb_dom_multipath,5.71392,8.115499999999999,1.2832000000000001,asym_uwb_dom_multipath,1.9664300000000001,6.5211,5.3974,soft_logvar,6.520901295745211,,14.2027,wifi_only_uwb_dead_or_var,14.2027,,7.9126,wifi_only_uwb_dead_or_var,7.9126,6,10.129726943617817,4.988590159851801,Low
81,15.2167,12.3,wifi_only_uwb_dead_or_var,12.3,6.813,4.6518,soft_logvar,4.962692549118704,8.9955,2.1832,asym_uwb_dom_multipath,2.86443,7.2011,9.337399999999999,uwb_only_wifi_dead_or_bad_var,7.2011,,15.602700000000002,wifi_only_uwb_dead_or_var,15.602700000000002,,7.8426,wifi_only_uwb_dead_or_var,7.8426,6,10.824866176321946,4.69435183356082,Low
82,5.5367,14.360000000000001,asym_wifi_dom_underest,11.713009999999999,14.413,5.2218,wifi_only_uwb_dead_or_var,5.2218,9.3955,3.1031999999999997,asym_uwb_dom_multipath,3.73243,6.9011,8.3774,soft_logvar,7.779595421425253,,15.382700000000002,wifi_only_uwb_dead_or_var,15.382700000000002,,14.492600000000001,wifi_only_uwb_dead_or_var,14.492600000000001,6,13.906200000000002,4.942360692107159,Low
83,18.9167,13.24,wifi_only_uwb_dead_or_var,13.24,16.363,4.7518,wifi_only_uwb_dead_or_var,4.7518,9.625499999999999,1.4732,asym_uwb_dom_multipath,2.28843,,7.877400000000001,wifi_only_uwb_dead_or_var,7.877400000000001,,17.9927,wifi_only_uwb_dead_or_var,17.9927,,7.9026000000000005,wifi_only_uwb_dead_or_var,7.9026000000000005,6,12.732299999999999,5.552990928013622,Low
84,18.1467,12.41,soft_logvar,15.145355359281776,10.562999999999999,5.2618,asym_uwb_dom_multipath,5.79192,7.1355,3.0631999999999997,asym_uwb_dom_multipath,3.47043,,8.847399999999999,wifi_only_uwb_dead_or_var,8.847399999999999,10.546100000000001,17.372700000000002,soft_logvar,14.149074977945965,,7.5226,wifi_only_uwb_dead_or_var,7.5226,6,10.661474999999996,4.794868504303097,Low
85,11.9867,11.040000000000001,soft_logvar,11.345735569342375,6.303,5.4418,soft_logvar,5.529275461378949,7.3655,1.9132,asym_uwb_dom_multipath,2.45843,,8.527399999999998,wifi_only_uwb_dead_or_var,8.527399999999998,12.9961,19.2227,uwb_only_wifi_dead_or_bad_var,12.9961,,9.2026,wifi_only_uwb_dead_or_var,9.2026,6,8.724690161945139,3.8685393025540935,Low
86,13.3767,10.39,wifi_only_uwb_dead_or_var,10.39,5.083,7.8018,soft_logvar,6.786341701265146,9.465499999999999,1.5232,asym_uwb_dom_multipath,2.31743,,10.9774,wifi_only_uwb_dead_or_var,10.9774,15.0561,19.4827,uwb_only_wifi_dead_or_bad_var,15.0561,,8.822600000000001,wifi_only_uwb_dead_or_var,8.822600000000001,6,6.2865874481022805,4.109867476271525,Low
87,11.476700000000001,,nan_both_or_no_wifi,,6.103,7.2118,soft_logvar,7.112889929278163,9.635499999999999,2.8531999999999997,asym_uwb_dom_multipath,3.5314299999999994,,10.7874,wifi_only_uwb_dead_or_var,10.7874,12.8261,,nan_both_or_no_wifi,,,11.5526,wifi_only_uwb_dead_or_var,11.5526,4,6.659565106082756,0.8412943481317394,High
88,14.8667,11.860000000000001,nan_both_or_no_wifi,,7.333,8.511800000000001,wifi_only_uwb_dead_or_var,8.511800000000001,11.795499999999999,2.1132,asym_uwb_dom_multipath,3.08143,,10.247399999999999,nan_both_or_no_wifi,,,20.0527,wifi_only_uwb_dead_or_var,20.0527,,10.6326,wifi_only_uwb_dead_or_var,10.6326,4,11.326755,5.654751451653416,Low
89,10.7767,,uwb_only_wifi_dead_or_bad_var,10.7767,6.823,9.0418,soft_logvar,8.089952947634623,12.1955,4.4732,asym_uwb_dom_multipath,5.245430000000001,,8.9474,wifi_only_uwb_dead_or_var,8.9474,,21.762700000000002,nan_both_or_no_wifi,,,11.1326,wifi_only_uwb_dead_or_var,11.1326,5,5.4879,2.419062692885715,High
90,3.1367000000000003,13.49,asym_wifi_dom_underest,10.38401,,15.3318,wifi_only_uwb_dead_or_var,15.3318,4.4255,16.0632,asym_wifi_dom_underest,12.571889999999998,,11.8974,wifi_only_uwb_dead_or_var,11.8974,6.5661000000000005,0.6027,asym_uwb_dom_multipath,1.19904,3.7074000000000003,11.8626,asym_wifi_dom_underest,9.41604,6,4.733774999999996,4.810989803572148,Low
91,3.7667,3.2600000000000002,soft_logvar,3.698996617741525,6.653,17.0318,asym_wifi_dom_underest,13.91816,5.665500000000001,14.3832,asym_wifi_dom_underest,11.76789,15.0711,9.2874,soft_logvar,10.630417042738832,,10.052700000000002,wifi_only_uwb_dead_or_var,10.052700000000002,,10.6026,wifi_only_uwb_dead_or_var,10.6026,6,2.572784999999997,3.12096333640241,Low
92,7.7267,16.36,asym_wifi_dom_underest,13.77001,19.113,0.8618000000000001,asym_uwb_dom_multipath,2.68692,1.8355000000000001,8.0732,asym_wifi_dom_underest,6.20189,,11.587399999999999,wifi_only_uwb_dead_or_var,11.587399999999999,10.3161,17.852700000000002,soft_logvar,14.958597028212564,,8.8026,wifi_only_uwb_dead_or_var,8.8026,6,11.352179999999999,4.854242456423939,Low
93,,13.18,wifi_only_uwb_dead_or_var,13.18,5.5329999999999995,10.3318,soft_logvar,7.4369311314057205,1.6055000000000001,3.7831999999999995,asym_wifi_dom_underest,3.1298899999999996,14.2711,8.8074,soft_logvar,14.268888513609424,,18.5727,wifi_only_uwb_dead_or_var,18.5727,3.8874,11.672600000000001,asym_wifi_dom_underest,9.337040000000002,6,10.247936073305555,5.90034503128907,Low
94,11.6267,6.1899999999999995,soft_logvar,11.626140080530698,,13.511800000000001,wifi_only_uwb_dead_or_var,13.511800000000001,5.5955,9.4932,soft_logvar,9.069248249416068,14.4311,4.2574,asym_uwb_dom_multipath,5.27477,5.4461,5.1127,soft_logvar,5.145390426204098,6.6274,5.2025999999999994,soft_logvar,5.579901694257868,6,6.343484276204759,2.1101384986224954,High
95,,11.020000000000001,wifi_only_uwb_dead_or_var,11.020000000000001,6.083,4.3418,soft_logvar,4.587690721628587,4.9455,2.3632,asym_uwb_dom_multipath,2.62143,,5.0874,wifi_only_uwb_dead_or_var,5.0874,5.6561,13.8627,asym_wifi_dom_underest,11.40072,1.9674,6.2726,asym_wifi_dom_underest,4.98104,6,4.288978917557117,3.4460683415894864,Low
96,8.986699999999999,9.09,soft_logvar,9.018655258193727,9.943,7.6318,soft_logvar,7.709633736005708,0.8254999999999999,6.8532,asym_wifi_dom_underest,5.04489,,7.6074,wifi_only_uwb_dead_or_var,7.6074,2.2761,9.5927,asym_wifi_dom_underest,7.3977200000000005,3.4074,0.6325999999999999,asym_uwb_dom_multipath,0.91008,6,2.58475349129915,2.0444206282280035,High
97,7.4267,7.04,soft_logvar,7.426607689076201,8.373000000000001,10.3718,soft_logvar,8.373527894257245,,5.0532,wifi_only_uwb_dead_or_var,5.0532,7.2411,,nan_both_or_no_wifi,,1.5960999999999999,10.732700000000001,asym_wifi_dom_underest,7.991720000000001,6.0974,6.5725999999999996,soft_logvar,6.0974261580081714,5,2.8407606155431324,2.072854762105808,High
98,7.5467,8.13,soft_logvar,7.8547726682202725,,8.2018,wifi_only_uwb_dead_or_var,8.2018,3.8255,5.9632000000000005,soft_logvar,5.4288245770311585,9.751100000000001,7.0774,soft_logvar,8.3494155882224,,8.7627,wifi_only_uwb_dead_or_var,8.7627,6.3574,2.5026,asym_uwb_dom_multipath,2.8880800000000004,6,1.6056572668220275,2.675369094067792,Low
99,10.726700000000001,2.98,asym_uwb_dom_multipath,3.75467,9.513,12.9518,uwb_only_wifi_dead_or_bad_var,9.513,4.0255,8.7332,asym_wifi_dom_underest,7.3208899999999995,5.331099999999999,2.8374,soft_logvar,3.0044394924278826,3.8061,8.962700000000002,asym_wifi_dom_underest,7.41572,,6.662599999999999,wifi_only_uwb_dead_or_var,6.662599999999999,6,4.417845000000001,3.2326943222210702,Low
