sample_index,p1_uwb_cal_0,p1_wifi_cal_0,p2_rule_0,p2_d_fused_0,p1_uwb_cal_1,p1_wifi_cal_1,p2_rule_1,p2_d_fused_1,p1_uwb_cal_2,p1_wifi_cal_2,p2_rule_2,p2_d_fused_2,p1_uwb_cal_3,p1_wifi_cal_3,p2_rule_3,p2_d_fused_3,p1_uwb_cal_4,p1_wifi_cal_4,p2_rule_4,p2_d_fused_4,p1_uwb_cal_5,p1_wifi_cal_5,p2_rule_5,p2_d_fused_5,p3_n_fused_valid,p3_f_scale,p4_quality_rmse_m,p4_confidence
17,9.0067,5.069999999999999,soft_logvar,7.499974700761049,6.233,12.1218,soft_logvar,12.06776708785846,,6.1032,wifi_only_uwb_dead_or_var,6.1032,2.6611,3.0174,soft_logvar,3.01721327988233,4.2961,13.2827,asym_wifi_dom_underest,10.58672,,9.5326,wifi_only_uwb_dead_or_var,9.5326,6,6.72528,1.7171562425775817,High
18,,8.950000000000001,wifi_only_uwb_dead_or_var,8.950000000000001,5.712999999999999,11.4218,soft_logvar,8.90257100131662,,5.4832,wifi_only_uwb_dead_or_var,5.4832,2.6511,5.4974,asym_wifi_dom_underest,4.64351,5.7061,17.2227,uwb_only_wifi_dead_or_bad_var,5.7061,7.587400000000001,9.5526,uwb_only_wifi_dead_or_bad_var,7.587400000000001,6,4.750185000000002,1.7035190769223314,High
19,8.9567,12.870000000000001,uwb_only_wifi_dead_or_bad_var,8.9567,7.513,9.6818,soft_logvar,9.667341228902757,,3.8732,wifi_only_uwb_dead_or_var,3.8732,4.3611,7.937399999999999,soft_logvar,7.2360049250362275,1.7061,17.7227,asym_wifi_dom_underest,12.91772,,11.072600000000001,wifi_only_uwb_dead_or_var,11.072600000000001,6,5.75489261244566,2.3302708731853023,High
20,8.1067,9.01,soft_logvar,9.006048756190058,17.713,4.6618,asym_uwb_dom_multipath,5.966920000000001,9.615499999999999,6.2132000000000005,soft_logvar,6.541473418067002,4.7811,8.577399999999999,soft_logvar,6.707589942130346,,6.8527,wifi_only_uwb_dead_or_var,6.8527,2.1974,,uwb_only_wifi_dead_or_bad_var,2.1974,6,1.328669999999998,2.1404735856439987,High
21,,8.700000000000001,wifi_only_uwb_dead_or_var,8.700000000000001,14.643,5.1018,asym_uwb_dom_multipath,6.05592,2.3655,5.913200000000001,wifi_only_uwb_dead_or_var,5.913200000000001,5.7811,8.257399999999999,soft_logvar,7.858672062884747,,5.8527,wifi_only_uwb_dead_or_var,5.8527,7.8074,,uwb_only_wifi_dead_or_bad_var,7.8074,6,2.918208094327119,1.7609199701274745,High
22,,8.59,wifi_only_uwb_dead_or_var,8.59,14.183,5.3118,asym_uwb_dom_multipath,6.19892,4.8255,5.3532,wifi_only_uwb_dead_or_var,5.3532,5.5710999999999995,7.0174,soft_logvar,6.634661990582871,,6.9227,wifi_only_uwb_dead_or_var,6.9227,7.6674,,uwb_only_wifi_dead_or_bad_var,7.6674,6,2.2027199999999993,2.1358462073885827,High
23,,7.449999999999999,wifi_only_uwb_dead_or_var,7.449999999999999,12.843,7.6318,soft_logvar,11.255260746043357,0.6955,4.7632,wifi_only_uwb_dead_or_var,4.7632,,6.5474,wifi_only_uwb_dead_or_var,6.5474,7.476100000000001,7.1127,soft_logvar,7.416387334406307,7.6874,,uwb_only_wifi_dead_or_bad_var,7.6874,6,1.7100000000000009,1.2498382377787154,High
24,8.4467,6.47,soft_logvar,6.715149513119977,12.363,7.2018,soft_logvar,11.335512032634112,1.3555,4.0232,wifi_only_uwb_dead_or_var,4.0232,,5.3174,wifi_only_uwb_dead_or_var,5.3174,,5.8827,wifi_only_uwb_dead_or_var,5.8827,7.3274,,uwb_only_wifi_dead_or_bad_var,7.3274,6,3.0149999999999997,1.2568985012352123,High
25,3.3367,5.81,soft_logvar,4.868332176824484,12.023,6.5018,wifi_only_uwb_dead_or_var,6.5018,1.9354999999999998,4.5732,wifi_only_uwb_dead_or_var,4.5732,,4.3874,nan_both_or_no_wifi,,,6.6627,wifi_only_uwb_dead_or_var,6.6627,7.0674,,uwb_only_wifi_dead_or_bad_var,7.0674,5,1.6967999999999996,1.4307225493553866,High
26,8.9667,4.909999999999999,soft_logvar,4.940960971053395,11.283,5.9618,soft_logvar,9.701267355194162,,5.2732,wifi_only_uwb_dead_or_var,5.2732,4.1211,4.1474,soft_logvar,4.121106822974159,9.1561,6.9627,soft_logvar,7.647434442701434,6.7574000000000005,,uwb_only_wifi_dead_or_bad_var,6.7574000000000005,6,4.05971020747206,2.2493233158766435,High
27,9.4467,7.05,wifi_only_uwb_dead_or_var,7.05,11.152999999999999,8.6918,soft_logvar,10.644543628962154,,3.3632,wifi_only_uwb_dead_or_var,3.3632,4.6711,3.2174,soft_logvar,4.6707987937760365,,7.5226999999999995,wifi_only_uwb_dead_or_var,7.5226999999999995,2.7974,2.2526,soft_logvar,2.3817264567888303,6,6.239249999999999,1.754497984567245,High
28,4.7167,3.08,soft_logvar,3.0950176041472046,11.233,8.4318,soft_logvar,9.611568842143196,3.7855,5.793200000000001,soft_logvar,5.111076027829302,5.4211,,uwb_only_wifi_dead_or_bad_var,5.4211,,10.302700000000002,wifi_only_uwb_dead_or_var,10.302700000000002,4.8474,6.2025999999999994,uwb_only_wifi_dead_or_bad_var,4.8474,6,3.8846376355231444,3.0357123388386578,Low
29,2.4067,,uwb_only_wifi_dead_or_bad_var,2.4067,9.443,,nan_both_or_no_wifi,,3.5454999999999997,,uwb_only_wifi_dead_or_bad_var,3.5454999999999997,,,nan_both_or_no_wifi,,,,nan_both_or_no_wifi,,5.4174,,uwb_only_wifi_dead_or_bad_var,5.4174,3,3.4163999999999994,2.730026151350445,Low
30,,19.029999999999998,wifi_only_uwb_dead_or_var,19.029999999999998,15.222999999999999,2.2918000000000003,asym_uwb_dom_multipath,3.5849200000000003,9.5155,8.433200000000001,soft_logvar,9.295179095281782,,12.2874,wifi_only_uwb_dead_or_var,12.2874,16.0761,17.0727,soft_logvar,16.076672254421382,3.3874,8.6226,asym_wifi_dom_underest,7.05204,6,13.536948381632072,5.915846436344753,Low
31,,18.689999999999998,wifi_only_uwb_dead_or_var,18.689999999999998,15.152999999999999,1.5118,asym_uwb_dom_multipath,2.87592,9.385499999999999,7.853200000000001,soft_logvar,8.029986584973104,,11.6974,wifi_only_uwb_dead_or_var,11.6974,15.8461,17.0027,soft_logvar,15.846505285684692,2.7074000000000003,8.402600000000001,asym_wifi_dom_underest,6.69404,6,13.728697928527037,5.831878998104465,Low
32,,17.369999999999997,wifi_only_uwb_dead_or_var,17.369999999999997,,0.9118000000000002,wifi_only_uwb_dead_or_var,0.9118000000000002,9.115499999999999,7.623200000000001,soft_logvar,9.108039480049776,,11.4874,wifi_only_uwb_dead_or_var,11.4874,15.8161,15.2527,soft_logvar,15.29668253883289,2.4074,8.4626,wifi_only_uwb_dead_or_var,8.4626,6,10.251123808249336,5.114679360582413,Low
33,,17.66,wifi_only_uwb_dead_or_var,17.66,15.613,0.5618000000000001,asym_uwb_dom_multipath,2.06692,9.2555,7.2632,soft_logvar,9.252092547964509,,11.847399999999999,wifi_only_uwb_dead_or_var,11.847399999999999,12.3561,15.0827,soft_logvar,15.069104943291055,1.9174000000000002,9.0326,asym_wifi_dom_underest,6.89804,6,12.256597414936582,5.275937512423018,Low
34,,17.63,wifi_only_uwb_dead_or_var,17.63,15.093,0.8518000000000001,asym_uwb_dom_multipath,2.27592,9.2555,6.913200000000001,soft_logvar,9.254010022809421,,11.017399999999999,wifi_only_uwb_dead_or_var,11.017399999999999,15.8861,14.492700000000001,soft_logvar,15.533432240232939,1.8874,8.422600000000001,asym_wifi_dom_underest,6.46204,6,13.607088360349408,5.5545433110749185,Low
35,,16.619999999999997,wifi_only_uwb_dead_or_var,16.619999999999997,15.273,1.0918,asym_uwb_dom_multipath,2.50992,9.2755,6.9632000000000005,soft_logvar,9.274288232028939,,10.7974,wifi_only_uwb_dead_or_var,10.7974,15.8561,15.3327,soft_logvar,15.556343331210735,1.9474,9.2726,asym_wifi_dom_underest,7.07504,6,12.721954996816104,5.376207777788769,Low
36,,20.13,nan_both_or_no_wifi,,15.492999999999999,1.6718000000000002,asym_uwb_dom_multipath,3.05392,9.2755,7.413200000000001,soft_logvar,9.275255284397444,,11.177399999999999,wifi_only_uwb_dead_or_var,11.177399999999999,15.8861,14.5427,soft_logvar,14.625798814937722,1.9174000000000002,8.902600000000001,asym_wifi_dom_underest,6.807040000000001,5,7.40464585319233,5.174324930787971,Low
37,,16.47,wifi_only_uwb_dead_or_var,16.47,16.153,1.7818,asym_uwb_dom_multipath,3.21892,9.2355,5.5632,soft_logvar,9.234815754544075,,10.8874,wifi_only_uwb_dead_or_var,10.8874,15.876100000000001,15.0827,soft_logvar,15.868283506020868,1.8974000000000002,8.752600000000001,asym_wifi_dom_underest,6.69604,6,13.7583652590313,5.51932456662001,Low
38,,15.790000000000001,nan_both_or_no_wifi,,15.693000000000001,2.8918,asym_uwb_dom_multipath,4.17192,9.0055,6.0732,soft_logvar,6.779692221003987,,10.9674,wifi_only_uwb_dead_or_var,10.9674,10.7461,15.152700000000001,soft_logvar,15.13508383328707,3.1074,8.7926,asym_wifi_dom_underest,7.08704,5,8.74536,4.638127190608223,Low
39,,16.27,nan_both_or_no_wifi,,,3.3018,wifi_only_uwb_dead_or_var,3.3018,9.1755,4.9032,soft_logvar,9.033706075131274,,9.827399999999999,wifi_only_uwb_dead_or_var,9.827399999999999,16.7261,15.232700000000001,soft_logvar,15.592130014089886,3.7674000000000003,10.2126,asym_wifi_dom_underest,8.27904,5,2.3810817746061748,5.773524311585031,Low
40,,8.610000000000001,wifi_only_uwb_dead_or_var,8.610000000000001,,9.1118,wifi_only_uwb_dead_or_var,9.1118,2.3655,2.5532,wifi_only_uwb_dead_or_var,2.5532,4.911099999999999,5.1274,soft_logvar,5.072112073116909,,15.5427,wifi_only_uwb_dead_or_var,15.5427,8.6274,8.8726,soft_logvar,8.769454444082548,6,6.059531890324638,3.2032785358345004,Low
41,16.2667,16.57,soft_logvar,16.540608556849303,12.633,0.7518,asym_uwb_dom_multipath,1.93992,4.5055000000000005,6.7232,soft_logvar,6.712149734907392,4.6111,10.7074,wifi_only_uwb_dead_or_var,10.7074,,15.0827,wifi_only_uwb_dead_or_var,15.0827,,10.572600000000001,wifi_only_uwb_dead_or_var,10.572600000000001,6,12.555825397638912,5.182043929921224,Low
42,,15.47,wifi_only_uwb_dead_or_var,15.47,10.312999999999999,5.1618,soft_logvar,5.381601852713012,9.1055,3.6832,asym_uwb_dom_multipath,4.22543,4.0111,10.587399999999999,asym_wifi_dom_underest,8.61451,,16.4927,wifi_only_uwb_dead_or_var,16.4927,,11.162600000000001,wifi_only_uwb_dead_or_var,11.162600000000001,6,15.132597220930482,5.481502267764033,Low
43,19.686700000000002,13.85,soft_logvar,14.532132391711821,17.203,6.3118,asym_uwb_dom_multipath,7.40092,9.615499999999999,3.2832,asym_uwb_dom_multipath,3.91643,5.3111,9.8774,soft_logvar,8.640445163319287,11.5261,17.6527,soft_logvar,11.55672897643036,,10.662600000000001,wifi_only_uwb_dead_or_var,10.662600000000001,6,6.23371346464554,3.909563753379214,Low
44,,10.13,wifi_only_uwb_dead_or_var,10.13,13.972999999999999,7.1618,soft_logvar,7.375218260716534,6.9355,1.0432000000000001,asym_uwb_dom_multipath,1.6324300000000003,5.1711,6.0374,soft_logvar,5.484279174055222,6.8261,14.462700000000002,asym_wifi_dom_underest,12.17172,,8.0426,wifi_only_uwb_dead_or_var,8.0426,6,6.968581238917169,2.7986167496775036,Low
45,5.6367,4.68,soft_logvar,5.349586871080027,6.513,13.1618,asym_wifi_dom_underest,11.167159999999999,,8.443200000000001,wifi_only_uwb_dead_or_var,8.443200000000001,5.411099999999999,3.1474,soft_logvar,3.534332199960654,9.1061,11.242700000000001,soft_logvar,11.042822628180684,,8.912600000000001,wifi_only_uwb_dead_or_var,8.912600000000001,6,7.281273942271021,2.8404472299904695,Low
46,4.6667000000000005,11.92,asym_wifi_dom_underest,9.74401,11.443,6.9118,soft_logvar,9.008734275312776,,5.3432,wifi_only_uwb_dead_or_var,5.3432,9.5711,7.4274000000000004,soft_logvar,9.57069615939888,4.9561,8.802700000000002,soft_logvar,8.456800408954827,3.5074,3.0426,soft_logvar,3.201159908184057,6,2.773757212696915,2.4100034114821236,High
47,4.6367,7.62,soft_logvar,6.081155355696007,,7.1418,wifi_only_uwb_dead_or_var,7.1418,,4.043200000000001,wifi_only_uwb_dead_or_var,4.043200000000001,11.6111,1.8674,asym_uwb_dom_multipath,2.8417700000000004,8.6961,11.572700000000001,soft_logvar,9.676126927549618,8.6174,4.7726,soft_logvar,4.809771280081339,6,4.647899999999999,2.7900300213861198,Low
48,,11.64,wifi_only_uwb_dead_or_var,11.64,6.702999999999999,4.6318,soft_logvar,4.67360738821329,,2.3731999999999998,wifi_only_uwb_dead_or_var,2.3731999999999998,3.6811,5.0974,soft_logvar,5.032166743583356,6.436100000000001,12.8327,soft_logvar,7.838835959535543,,6.0926,wifi_only_uwb_dead_or_var,6.0926,6,4.747842856983381,2.6286387946259,Low
49,,7.86,wifi_only_uwb_dead_or_var,7.86,8.303,11.0918,soft_logvar,11.091035616653803,,6.0232,wifi_only_uwb_dead_or_var,6.0232,7.4411,1.5074,asym_uwb_dom_multipath,2.1007700000000002,2.8761,12.2527,asym_wifi_dom_underest,9.439720000000001,,9.922600000000001,wifi_only_uwb_dead_or_var,9.922600000000001,6,5.5708734249807055,2.018762523661771,High
50,,10.39,wifi_only_uwb_dead_or_var,10.39,6.663,16.5418,asym_wifi_dom_underest,13.578159999999997,2.7355,15.4632,asym_wifi_dom_underest,11.64489,12.0111,11.277399999999998,soft_logvar,11.284350162732819,3.9760999999999997,3.0627,soft_logvar,3.1043559740573445,,9.412600000000001,wifi_only_uwb_dead_or_var,9.412600000000001,6,3.3484349999999985,4.107781854095257,Low
51,3.9167,6.1499999999999995,soft_logvar,6.13519869357445,10.133,14.8118,soft_logvar,13.611175006802991,6.0055000000000005,12.683200000000001,asym_wifi_dom_underest,10.67989,15.341099999999999,5.9374,asym_uwb_dom_multipath,6.877770000000001,,5.3627,wifi_only_uwb_dead_or_var,5.3627,10.9774,8.342600000000001,soft_logvar,10.022603080150786,6,6.817036959638325,3.498939187009341,Low
52,3.6467,5.29,soft_logvar,5.216548025254919,9.603,18.7918,soft_logvar,13.058187536350143,,14.9132,wifi_only_uwb_dead_or_var,14.9132,8.0811,8.437399999999998,soft_logvar,8.419564065508032,6.2061,11.132700000000002,soft_logvar,9.3034593331239,6.3974,11.592600000000001,soft_logvar,6.858735244219118,6,8.47161019373684,4.975403138364483,Low
53,7.0067,3.18,asym_uwb_dom_multipath,3.5626700000000002,6.2829999999999995,16.3118,asym_wifi_dom_underest,13.30316,5.625500000000001,11.693200000000001,asym_wifi_dom_underest,9.87289,,5.2474,wifi_only_uwb_dead_or_var,5.2474,3.9360999999999997,8.2927,asym_wifi_dom_underest,6.985719999999999,,8.752600000000001,wifi_only_uwb_dead_or_var,8.752600000000001,6,6.938235000000001,3.3627905253015147,Low
54,,7.13,wifi_only_uwb_dead_or_var,7.13,9.383,12.0018,soft_logvar,11.953287407261904,4.2555000000000005,8.6732,asym_wifi_dom_underest,7.34789,3.2411,3.9374000000000002,soft_logvar,3.9371974633937232,7.2061,6.6927,soft_logvar,6.692736193738263,,4.252599999999999,wifi_only_uwb_dead_or_var,4.252599999999999,6,4.6429350000000005,2.1003476026138093,High
55,3.7767,6.329999999999999,soft_logvar,6.2200035031823795,7.093,14.4918,asym_wifi_dom_underest,12.27216,5.9855,8.443200000000001,soft_logvar,8.442782014330138,,2.3474,wifi_only_uwb_dead_or_var,2.3474,4.3361,9.662700000000001,asym_wifi_dom_underest,8.06472,,6.462599999999999,wifi_only_uwb_dead_or_var,6.462599999999999,6,3.334167766721638,2.6016759968487624,Low
56,5.4267,11.3,asym_wifi_dom_underest,9.53801,6.063,7.6617999999999995,soft_logvar,7.599279306600745,1.3455,2.5732,soft_logvar,2.4571896067822805,,5.4774,wifi_only_uwb_dead_or_var,5.4774,10.956100000000001,13.902700000000001,soft_logvar,12.195777206907149,8.157399999999999,6.8826,soft_logvar,7.657866175965038,6,6.090914999999999,2.6755405188172876,Low
57,3.5766999999999998,0.8900000000000001,asym_uwb_dom_multipath,1.15867,4.723,17.4018,asym_wifi_dom_underest,13.59816,4.1655,11.5832,asym_wifi_dom_underest,9.357889999999998,9.661100000000001,6.6874,soft_logvar,6.708879070219021,2.0561,14.732700000000001,asym_wifi_dom_underest,10.92972,12.1274,11.162600000000001,soft_logvar,11.580908276667671,6,7.3080438096729745,2.8583341635078447,Low
58,5.0467,2.66,soft_logvar,2.7846266399757775,5.403,15.2518,asym_wifi_dom_underest,12.297159999999998,4.0755,10.0732,asym_wifi_dom_underest,8.27389,11.4911,4.0274,asym_uwb_dom_multipath,4.77377,,11.8627,wifi_only_uwb_dead_or_var,11.8627,9.487400000000001,9.4826,soft_logvar,9.48726362417796,6,9.598059563733061,3.1001481090414007,Low
59,3.0967000000000002,12.67,asym_wifi_dom_underest,9.79801,6.593,16.0618,asym_wifi_dom_underest,13.221160000000001,6.665500000000001,16.873199999999997,asym_wifi_dom_underest,13.810889999999999,,12.767399999999999,wifi_only_uwb_dead_or_var,12.767399999999999,4.3361,2.0526999999999997,asym_uwb_dom_multipath,2.28104,7.9074,10.4626,nan_soft_weight,,5,3.1304700000000008,4.225762517283262,Low
60,,15.200000000000001,wifi_only_uwb_dead_or_var,15.200000000000001,13.843,6.0318000000000005,asym_uwb_dom_multipath,6.81292,,4.4932,wifi_only_uwb_dead_or_var,4.4932,2.5011,10.757399999999999,asym_wifi_dom_underest,8.28051,5.9561,18.3427,asym_wifi_dom_underest,14.62672,9.2174,10.6026,soft_logvar,10.362764835902121,6,11.005732253853179,4.587874740151286,Low
