phaseA_rank,feat_mode,calib_kind,huber_f_wifi,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m,irls_max_iter,train_CV_mean_RMSE_C_m
0,bias_sub,identity,1.35,1.35,12.0,1.35,2.95,2,2.6201454111844886
0,bias_sub,identity,1.35,1.55,8.0,1.35,2.95,3,2.6201675069773604
0,bias_sub,identity,1.35,1.35,8.0,1.35,2.95,2,2.6202683120441654
0,bias_sub,identity,1.35,1.55,12.0,1.35,3.05,2,2.6204592520266803
0,bias_sub,identity,1.35,1.45,8.0,1.0,3.1,2,2.620507289049802
0,bias_sub,identity,1.35,1.55,8.0,1.35,2.95,2,2.6205516619300293
0,bias_sub,identity,1.35,1.35,24.0,1.35,2.95,2,2.6207157412688344
0,bias_sub,identity,1.35,1.55,10.0,1.35,2.95,2,2.6207898753204857
0,bias_sub,identity,1.35,1.45,24.0,1.35,2.85,2,2.620819708615969
0,bias_sub,identity,1.35,1.45,8.0,1.0,3.05,2,2.620966110013642
0,bias_sub,identity,1.35,1.45,12.0,1.35,2.95,3,2.621051383136248
0,bias_sub,identity,1.35,1.55,8.0,1.35,2.85,2,2.621396839017895
0,bias_sub,identity,1.35,1.55,12.0,1.35,2.95,2,2.6214541575104917
0,bias_sub,identity,1.35,1.35,8.0,1.35,2.85,2,2.621503628036477
0,bias_sub,identity,1.35,1.35,8.0,1.35,2.95,3,2.621515578459086
0,bias_sub,identity,1.35,1.35,10.0,1.35,2.85,2,2.6217267007731566
0,bias_sub,identity,1.35,1.45,24.0,1.35,3.1,3,2.6218574685074074
0,bias_sub,identity,1.35,1.45,8.0,1.35,2.85,3,2.621895106810125
0,bias_sub,identity,1.35,1.45,10.0,1.35,2.85,3,2.6219005750681323
0,bias_sub,identity,1.35,1.35,12.0,1.35,2.85,2,2.6219112449615563
0,bias_sub,identity,1.35,1.55,10.0,1.35,2.85,2,2.6221537822649235
0,bias_sub,identity,1.35,1.45,8.0,1.0,2.95,2,2.62216508379939
0,bias_sub,identity,1.35,1.35,24.0,1.35,2.85,2,2.6224682611003733
0,bias_sub,identity,1.35,1.55,8.0,1.0,3.1,2,2.622566864356168
0,bias_sub,identity,1.35,1.45,24.0,1.35,3.05,3,2.6226625461133755
0,bias_sub,identity,1.35,1.55,24.0,1.35,3.1,2,2.622706556776606
0,bias_sub,identity,1.35,1.55,12.0,1.35,2.85,2,2.6228078941405304
0,bias_sub,identity,1.35,1.45,12.0,1.35,2.85,3,2.6228378910600294
0,bias_sub,identity,1.35,1.45,12.0,1.0,3.1,2,2.623013615021357
0,bias_sub,identity,1.35,1.55,8.0,1.0,3.05,2,2.623027294802155
