pipeline,rmse_m,mae_m
A,1.723131614837843,1.4483628223561837
A_to_B,1.6797800472560565,1.3837195858010998
A_to_B_to_C,1.698460392115228,1.4004575291905832
A_to_C_first,1.698460392115228,1.4004575291905832
A_to_C_then_B,1.9850358470168636,1.5106400759211522
A_to_B_conditional_C,1.6835919502352048,1.3860554556102331
