phaseA_rank,feat_mode,calib_kind,huber_f_wifi,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m,irls_max_iter,train_CV_mean_RMSE_C_m
0,bias_sub,huber,1.0,1.9,24.0,1.0,3.1,2,2.6945073461426405
1,bias_sub,huber,1.35,1.9,24.0,1.0,3.1,2,2.6945073461426405
2,bias_sub,identity,1.0,1.55,10.0,1.0,2.2,2,2.69459096662487
2,bias_sub,identity,1.0,1.25,24.0,1.0,2.2,2,2.69466666914204
0,bias_sub,huber,1.0,2.35,24.0,1.0,3.1,2,2.6953979671740393
1,bias_sub,huber,1.35,2.35,24.0,1.0,3.1,2,2.6953979671740393
0,bias_sub,huber,1.0,1.25,10.0,1.0,3.1,2,2.6956341928962333
1,bias_sub,huber,1.35,1.25,10.0,1.0,3.1,2,2.6956341928962333
0,bias_sub,huber,1.0,1.55,24.0,1.0,3.1,2,2.6957404969193584
1,bias_sub,huber,1.35,1.55,24.0,1.0,3.1,2,2.6957404969193584
2,bias_sub,identity,1.0,1.25,10.0,1.0,2.2,2,2.6958014112432456
2,bias_sub,identity,1.0,2.95,10.0,1.35,2.2,2,2.6963174940872765
0,bias_sub,huber,1.0,1.55,10.0,1.0,3.1,2,2.6966590404910096
1,bias_sub,huber,1.35,1.55,10.0,1.0,3.1,2,2.6966590404910096
0,bias_sub,huber,1.0,2.95,10.0,1.35,2.2,2,2.6970152077602547
1,bias_sub,huber,1.35,2.95,10.0,1.35,2.2,2,2.6970152077602547
0,bias_sub,huber,1.0,1.9,10.0,1.0,2.2,2,2.7000842609702254
1,bias_sub,huber,1.35,1.9,10.0,1.0,2.2,2,2.7000842609702254
0,bias_sub,huber,1.0,2.35,10.0,1.0,2.2,2,2.7013352121952514
1,bias_sub,huber,1.35,2.35,10.0,1.0,2.2,2,2.7013352121952514
2,bias_sub,identity,1.0,2.95,10.0,1.0,3.1,2,2.702762815355929
0,bias_sub,huber,1.0,1.25,24.0,1.0,2.2,2,2.702979723662915
1,bias_sub,huber,1.35,1.25,24.0,1.0,2.2,2,2.702979723662915
0,bias_sub,huber,1.0,2.95,24.0,1.35,2.2,2,2.7046698199490096
1,bias_sub,huber,1.35,2.95,24.0,1.35,2.2,2,2.7046698199490096
0,bias_sub,huber,1.0,1.9,24.0,1.0,2.2,2,2.7053470092395586
1,bias_sub,huber,1.35,1.9,24.0,1.0,2.2,2,2.7053470092395586
0,bias_sub,huber,1.0,1.25,10.0,1.0,2.2,2,2.705422260000822
1,bias_sub,huber,1.35,1.25,10.0,1.0,2.2,2,2.705422260000822
0,bias_sub,huber,1.0,2.35,24.0,1.0,2.2,2,2.7066191829874375
1,bias_sub,huber,1.35,2.35,24.0,1.0,2.2,2,2.7066191829874375
0,bias_sub,huber,1.0,1.55,24.0,1.0,2.2,2,2.7066605517255167
1,bias_sub,huber,1.35,1.55,24.0,1.0,2.2,2,2.7066605517255167
0,bias_sub,huber,1.0,1.55,10.0,1.0,2.2,2,2.706847144096809
1,bias_sub,huber,1.35,1.55,10.0,1.0,2.2,2,2.706847144096809
0,bias_sub,huber,1.0,2.95,24.0,1.0,3.1,2,2.7079981659387227
1,bias_sub,huber,1.35,2.95,24.0,1.0,3.1,2,2.7079981659387227
2,bias_sub,identity,1.0,2.95,10.0,1.0,2.2,2,2.70880362665266
0,bias_sub,huber,1.0,2.95,10.0,1.0,3.1,2,2.713751059619271
1,bias_sub,huber,1.35,2.95,10.0,1.0,3.1,2,2.713751059619271
0,bias_sub,huber,1.0,2.95,24.0,1.0,2.2,2,2.7197530365319866
1,bias_sub,huber,1.35,2.95,24.0,1.0,2.2,2,2.7197530365319866
0,bias_sub,huber,1.0,2.95,10.0,1.0,2.2,2,2.725372839756941
1,bias_sub,huber,1.35,2.95,10.0,1.0,2.2,2,2.725372839756941
2,bias_sub,identity,1.0,2.95,24.0,1.0,3.1,2,2.735119876227584
2,bias_sub,identity,1.0,2.95,24.0,1.0,2.2,2,2.747659482162256
