anchor_key,n_valid,n_pass,n_filtered,pass_rate
110394ab,127,40,87,0.31496062992125984
4e610206,150,68,82,0.4533333333333333
8e610981,143,83,60,0.5804195804195804
d1044709,130,66,64,0.5076923076923077
d10485af,138,68,70,0.4927536231884058
e63ce2f,133,38,95,0.2857142857142857
