feat_mode,calib_kind,huber_f_wifi,train_CV_mean_RMSE_step_A_calibrated_m,kfold_splits,cv_split_mode
bias_sub,identity,1.0,2.6173060964301182,3,kfold_auto
bias_sub,identity,1.35,2.6038440159091594,3,kfold_auto
bias_sub,huber,1.0,2.595125547972716,3,kfold_auto
bias_sub,huber,1.35,2.5714833390678464,3,kfold_auto
