fold,n_train,n_val,val_rmse_m,val_dist_mae_after_calib_m
0,560,140,9.460000521328855,7.045431208998236
1,560,140,8.765133444340957,6.9528988031840155
2,560,140,9.365299170155222,7.3639301749697195
3,560,140,8.688687769588942,7.159212491980701
4,560,140,10.038882414741893,7.026480098655827
