fold,n_train,n_val,val_rmse_m,val_dist_mae_after_calib_m
0,560,140,11.782260857014368,10.667835017449262
1,560,140,11.287531696746726,10.236798661674952
2,560,140,13.458467345613105,10.78852420322652
3,560,140,11.690466893522316,10.712089183003105
4,560,140,15.236359354245556,11.176163669213299
