fold,n_train,n_val,val_rmse_m,val_dist_mae_after_calib_m
0,560,140,10.451220597497134,13.316008501789351
1,560,140,9.524701916509887,12.441461613417628
2,560,140,10.754920581578158,13.368144155290661
3,560,140,9.854672987165428,13.603526338297078
4,560,140,10.506455644897517,14.351571864561485
