fold,n_train,n_val,val_rmse_m,val_dist_mae_after_calib_m
0,560,140,8.10464362243603,7.335665170890985
1,560,140,7.9239570414272595,7.14411772717802
2,560,140,9.474445755920305,7.560875767668157
3,560,140,8.060684048901654,7.415263029276694
4,560,140,9.978260769429573,7.4201841939563336
