fold,n_train,n_val,val_rmse_m,val_dist_mae_after_calib_m
0,560,140,8.637823660915192,7.045431208998236
1,560,140,8.00807964412711,6.9528988031840155
2,560,140,9.099600909162179,7.3639301749697195
3,560,140,8.361837600075896,7.159212491980701
4,560,140,10.228361447179676,7.026480098655827
