fold,n_train,n_val,val_rmse_m,val_dist_mae_after_calib_m
0,560,140,37.81747320266931,
1,560,140,36.67457392127357,
2,560,140,38.05964641866313,
3,560,140,37.76857821264862,
4,560,140,39.91423344015099,
