fold,n_train,n_val,val_rmse_m,val_dist_mae_after_calib_m
0,560,140,17.376007650239412,16.330810395578197
1,560,140,15.454099842335717,15.443601081713119
2,560,140,16.712799047476963,16.28171513310341
3,560,140,14.20000007562622,15.650345479467985
4,560,140,19.33004345951824,17.132121417051362
