fold,n_train,n_val,val_rmse_m,val_dist_mae_after_calib_m
0,560,140,10.113672628418474,9.765927500147544
1,560,140,9.702356285571124,9.403001914760779
2,560,140,10.606210169503145,10.122865849246223
3,560,140,9.184632647344225,9.8444707642709
4,560,140,11.0214808389052,10.138054083464311
